Country,Year,Per capita CO2 emissions
South Africa,2018,8.090290043
South America,2018,2.629228588
South Korea,2018,12.8739886
South Sudan,2018,0.170410371
Spain,2018,5.744625773
Sri Lanka,2018,1.100780204
Sudan,2018,0.503471713
Suriname,2018,3.10212281
Swaziland,2018,1.055210987
Sweden,2018,4.114204897
Switzerland,2018,4.324823108
Syria,2018,1.668739612
Taiwan,2018,11.57561289
Tajikistan,2018,0.602636465
Tanzania,2018,0.221954382
Thailand,2018,4.151482978
Timor,2018,0.411530987
Togo,2018,0.433257069
Tonga,2018,1.313466034
Trinidad and Tobago,2018,31.27851856
Tunisia,2018,2.730356064
Turkey,2018,5.200140711
Turkmenistan,2018,13.65470216
Turks and Caicos Islands,2018,5.779829156
Tuvalu,2018,0.966335725
Uganda,2018,0.135059484
Ukraine,2018,5.08561622
United Arab Emirates,2018,21.34797284
United Kingdom,2018,5.645347054
United States,2018,16.55867966
Uruguay,2018,2.013296657
Uzbekistan,2018,2.810235485
Vanuatu,2018,0.527691864
Venezuela,2018,4.803704172
Vietnam,2018,2.162946589
World,2018,4.792598235
Yemen,2018,0.355824562
Zambia,2018,0.301292952
Zimbabwe,2018,0.849276115
Afghanistan,2017,0.247164193
Africa,2017,1.102694029
Albania,2017,1.612812198
Algeria,2017,3.557053728
Andorra,2017,6.263003482
Angola,2017,1.144044856
Anguilla,2017,10.3488499
Antigua and Barbuda,2017,5.913628517
Argentina,2017,4.54177586
Armenia,2017,1.699698642
Aruba,2017,8.483240908
Asia,2017,4.310191674
Asia (excl. China & India),2017,4.08218261
Australia,2017,16.96324092
Austria,2017,7.934109627
Azerbaijan,2017,3.722912411
Bahamas,2017,4.711053307
Bahrain,2017,21.2985399
Bangladesh,2017,0.494000082
Barbados,2017,4.438899927
Belarus,2017,6.634836263
Belgium,2017,8.54321957
Belize,2017,1.506435618
Benin,2017,0.617690593
Bermuda,2017,9.797380578
Bhutan,2017,1.578588666
Bolivia,2017,1.939781246
Bonaire Sint Eustatius and Saba,2017,13.30566416
Bosnia and Herzegovina,2017,6.497922597
Botswana,2017,3.13474175
Brazil,2017,2.231779303
British Virgin Islands,2017,7.145634458
Brunei,2017,17.91278117
Bulgaria,2017,6.674406311
Burkina Faso,2017,0.19575463
Burundi,2017,0.046946691
Cambodia,2017,0.625786701
Cameroon,2017,0.325826286
Canada,2017,15.54880969
Cape Verde,2017,1.126024224
Central African Republic,2017,0.064456616
Chad,2017,0.066008775
Chile,2017,4.517690766
China,2017,6.923717128
Colombia,2017,1.904445212
Comoros,2017,0.260782632
Congo,2017,0.622366474
Cook Islands,2017,3.552604164
Costa Rica,2017,1.578802158
Cote d'Ivoire,2017,0.326875293
Croatia,2017,4.474485028
Cuba,2017,2.478469966
Curacao,2017,33.36521149
Cyprus,2017,6.379823899
Czech Republic,2017,9.924562374
Democratic Republic of Congo,2017,0.024433873
Denmark,2017,6.070245799
Djibouti,2017,0.665272324
Dominica,2017,2.550772864
Dominican Republic,2017,2.321292863
EU-27,2017,7.051758715
EU-28,2017,6.888926373
Ecuador,2017,2.356780449
Egypt,2017,2.457594515
El Salvador,2017,1.101245948
Equatorial Guinea,2017,4.536654726
Eritrea,2017,0.2113903
Estonia,2017,14.14288754
Ethiopia,2017,0.137418837
Europe,2017,7.548526599
Europe (excl. EU-27),2017,8.248817335
Europe (excl. EU-28),2017,8.935254253
Faeroe Islands,2017,13.50052378
Fiji,2017,2.360649367
Finland,2017,8.111938946
France,2017,5.344192818
French Polynesia,2017,2.862072408
Gabon,2017,2.573094348
Gambia,2017,0.265430375
Georgia,2017,2.658235721
Germany,2017,9.653831452
Ghana,2017,0.605799898
Greece,2017,7.08154458
Greenland,2017,9.351691723
Grenada,2017,2.403251015
Guatemala,2017,0.958492966
Guinea,2017,0.253575225
Guinea-Bissau,2017,0.178802711
Guyana,2017,3.028782867
Haiti,2017,0.27120165
Honduras,2017,1.016427558
Hong Kong,2017,5.910584833
Hungary,2017,5.102362225
Iceland,2017,10.82184518
India,2017,1.83536021
Indonesia,2017,2.206964797
Iran,2017,8.502673283
Iraq,2017,4.990392807
Ireland,2017,8.148030312
Israel,2017,7.846784901
Italy,2017,5.751909526
Jamaica,2017,2.79820498
Japan,2017,9.318388379
Jordan,2017,2.470413586
Kazakhstan,2017,15.66875286
Kenya,2017,0.359543996
Kiribati,2017,0.593933823
Kuwait,2017,24.06673452
Kyrgyzstan,2017,1.52793406
Laos,2017,2.621426851
Latvia,2017,3.708476279
Lebanon,2017,3.528782944
Lesotho,2017,1.331346786
Liberia,2017,0.319771501
Libya,2017,7.951791446
Liechtenstein,2017,4.082602782
Lithuania,2017,4.71246351
Luxembourg,2017,15.61395458
Macao,2017,3.278802789
Macedonia,2017,3.530002701
Madagascar,2017,0.163358006
Malawi,2017,0.076304023
Malaysia,2017,7.918710715
Maldives,2017,2.988029972
Mali,2017,0.185604252
Malta,2017,3.672753084
Marshall Islands,2017,2.529338867
Mauritania,2017,0.598108219
Mauritius,2017,3.750573857
Mexico,2017,3.949201401
Moldova,2017,1.183189808
Mongolia,2017,8.482208542
Montenegro,2017,3.229094174
Montserrat,2017,5.913628517
Morocco,2017,1.789975753
Mozambique,2017,0.27979764
Myanmar,2017,0.475938141
Namibia,2017,1.757958633
Nauru,2017,4.445504675
Nepal,2017,0.329475466
Netherlands,2017,9.66326581
New Caledonia,2017,19.85115284
New Zealand,2017,7.661362453
Nicaragua,2017,0.860827498
Niger,2017,0.103122151
Nigeria,2017,0.643248157
Niue,2017,3.761580879
North America,2017,11.34448207
North America (excl. USA),2017,4.988535769
North Korea,2017,1.122498278
Norway,2017,8.251931349
Oceania,2017,11.58217477
Oman,2017,13.64515603
Pakistan,2017,1.017346182
Palau,2017,12.74757965
Palestine,2017,0.670895896
Panama,2017,2.535389176
Papua New Guinea,2017,0.899207466
Paraguay,2017,1.044286841
Peru,2017,1.675133774
Philippines,2017,1.245794741
Poland,2017,8.868628635
Portugal,2017,5.312920636
Qatar,2017,39.7660352
Romania,2017,3.815910639
Russia,2017,11.31753646
Rwanda,2017,0.091153053
Saint Helena,2017,1.848008911
Saint Kitts and Nevis,2017,4.620022279
Saint Lucia,2017,2.307458641
Saint Pierre and Miquelon,2017,12.93606238
Saint Vincent and the Grenadines,2017,2.016009722
Samoa,2017,1.29244061
Sao Tome and Principe,2017,0.5830504
Saudi Arabia,2017,19.12538336
Senegal,2017,0.733669718
Serbia,2017,5.169449607
Seychelles,2017,6.633658191
Sierra Leone,2017,0.138588816
Singapore,2017,7.108698776
Sint Maarten (Dutch part),2017,18.75052944
Slovakia,2017,6.614104841
Slovenia,2017,6.868696268
Solomon Islands,2017,0.272064026
Somalia,2017,0.04656156
South Africa,2017,8.118093215
South America,2017,2.682205543
South Korea,2017,12.53689074
South Sudan,2017,0.166608337
Spain,2017,5.883062176
Sri Lanka,2017,1.158639516
Sudan,2017,0.50225228
Suriname,2017,3.018334635
Swaziland,2017,1.076861709
Sweden,2017,4.245319169
Switzerland,2017,4.514160639
Syria,2017,1.656979337
Taiwan,2017,11.59739538
Tajikistan,2017,0.580380802
Tanzania,2017,0.221761112
Thailand,2017,4.120117703
Timor,2017,0.408538551
Togo,2017,0.431286282
Tonga,2017,1.290738537
Trinidad and Tobago,2017,31.37197584
Tunisia,2017,2.666342413
Turkey,2017,5.243473593
Turkmenistan,2017,12.70194362
Turks and Caicos Islands,2017,5.893650042
Tuvalu,2017,1.025885694
Uganda,2017,0.13690403
Ukraine,2017,5.017533678
United Arab Emirates,2017,21.08568441
United Kingdom,2017,5.80555578
United States,2017,16.21344773
Uruguay,2017,1.950040148
Uzbekistan,2017,2.919058025
Vanuatu,2017,0.527941176
Venezuela,2017,5.225940145
Vietnam,2017,1.952697333
World,2017,4.789869805
Yemen,2017,0.363112338
Zambia,2017,0.303877783
Zimbabwe,2017,0.844692032
Afghanistan,2016,0.244562379
Africa,2016,1.118522118
Albania,2016,1.570467082
Algeria,2016,3.639333993
Andorra,2016,6.090805195
Angola,2016,1.182683164
Anguilla,2016,10.992
Antigua and Barbuda,2016,5.8624
Argentina,2016,4.597748274
Armenia,2016,1.762061378
Aruba,2016,8.409752381
Asia,2016,4.265555986
Asia (excl. China & India),2016,4.03829353
Australia,2016,17.02828965
Austria,2016,7.695767509
Azerbaijan,2016,3.81725142
Bahamas,2016,4.720550265
Bahrain,2016,22.06150424
Bangladesh,2016,0.481107941
Barbados,2016,4.426977912
Belarus,2016,6.451619558
Belgium,2016,8.668446402
Belize,2016,1.54326087
Benin,2016,0.576799558
Bermuda,2016,9.712507937
Bhutan,2016,1.561153016
Bolivia,2016,1.922911157
Bonaire Sint Eustatius and Saba,2016,13.1904
Bosnia and Herzegovina,2016,6.418449501
Botswana,2016,2.932141726
Brazil,2016,2.203085224
British Virgin Islands,2016,7.328
Brunei,2016,17.96219435
Bulgaria,2016,6.328010435
Burkina Faso,2016,0.181349117
Burundi,2016,0.046074647
Cambodia,2016,0.616772685
Cameroon,2016,0.33417015
Canada,2016,15.50362575
Cape Verde,2016,1.021227872
Central African Republic,2016,0.065399736
Chad,2016,0.068186014
Chile,2016,4.620942171
China,2016,6.862901687
Colombia,2016,2.010013579
Comoros,2016,0.253165829
Congo,2016,0.637252221
Cook Islands,2016,3.460444444
Costa Rica,2016,1.600237224
Cote d'Ivoire,2016,0.330364438
Croatia,2016,4.296158373
Cuba,2016,2.478631158
Curacao,2016,33.45391304
Cyprus,2016,6.283587514
Czech Republic,2016,10.0385289
Democratic Republic of Congo,2016,0.02533354
Denmark,2016,6.482128811
Djibouti,2016,0.645487133
Dominica,2016,2.528676056
Dominican Republic,2016,2.372159661
EU-27,2016,6.993067315
EU-28,2016,6.86790076
Ecuador,2016,2.458209042
Egypt,2016,2.468804956
El Salvador,2016,1.109578209
Equatorial Guinea,2016,4.65011358
Eritrea,2016,0.203971792
Estonia,2016,13.27067981
Ethiopia,2016,0.13452755
Europe,2016,7.509786402
Europe (excl. EU-27),2016,8.238984273
Europe (excl. EU-28),2016,8.855529022
Faeroe Islands,2016,13.12933333
Fiji,2016,2.31509953
Finland,2016,8.592435735
France,2016,5.303326599
French Polynesia,2016,2.797963636
Gabon,2016,2.635068923
Gambia,2016,0.247221964
Georgia,2016,2.467961789
Germany,2016,9.753203752
Ghana,2016,0.569244402
Greece,2016,6.723262272
Greenland,2016,9.094571429
Grenada,2016,2.431563636
Guatemala,2016,0.987490613
Guinea,2016,0.233799284
Guinea-Bissau,2016,0.164489338
Guyana,2016,3.03541244
Haiti,2016,0.272435657
Honduras,2016,1.037321473
Hong Kong,2016,5.989442187
Hungary,2016,4.863150106
Iceland,2016,10.51197023
India,2016,1.790654525
Indonesia,2016,2.143629024
Iran,2016,8.206857952
Iraq,2016,5.146390708
Ireland,2016,8.495472281
Israel,2016,7.878762767
Italy,2016,5.82706538
Jamaica,2016,2.807903551
Japan,2016,9.440649316
Jordan,2016,2.550941604
Kazakhstan,2016,15.01278019
Kenya,2016,0.349667841
Kiribati,2016,0.583646018
Kuwait,2016,24.7806308
Kyrgyzstan,2016,1.587135652
Laos,2016,2.558427223
Latvia,2016,3.663792145
Lebanon,2016,3.639600214
Lesotho,2016,1.209561446
Liberia,2016,0.296075676
Libya,2016,7.708891579
Liechtenstein,2016,3.918088112
Lithuania,2016,4.540191558
Luxembourg,2016,15.67528745
Macao,2016,3.256322612
Macedonia,2016,3.385810668
Madagascar,2016,0.155670729
Malawi,2016,0.073404541
Malaysia,2016,8.040489372
Maldives,2016,3.032806723
Mali,2016,0.172925329
Malta,2016,3.241643711
Marshall Islands,2016,2.463724138
Mauritania,2016,0.551711816
Mauritius,2016,3.443347068
Mexico,2016,3.93588166
Moldova,2016,1.204178301
