Year,Country,hf_score,hf_quartile,pf_rol,pf_ss,pf_movement,pf_religion,pf_expression,pf_identity,pf_score,ef_government,ef_legal,ef_money,ef_trade,ef_regulation,ef_score
2017,Ethiopia,5.25,4,3.3,6.6,6.7,5.6,5.4,3.8,4.77,5.6,4.7,6.5,5.1,6.7,5.72
2017,Fiji,7.17,2,4.8,9.3,5.8,9.2,7.7,10,7.61,6,5.3,7,6.4,8.9,6.74
2017,Finland,8.53,1,8.6,9.8,10,7.9,9.7,9,9.27,4.7,8.8,9.4,8.2,7.9,7.8
2017,France,8.02,1,6.8,9.4,10,7.3,9.3,10,8.69,4.8,7,9.5,8.2,7.3,7.35
2017,Gabon,5.99,4,4.1,8.2,2.5,8.9,6.2,8.8,6.1,6.3,4.2,6.1,5.9,6.8,5.88
2017,"Gambia, The",5.94,4,4.5,5.5,4.2,7.6,5.4,0,4.64,7.2,5.4,9.2,7.2,7.1,7.23
2017,Georgia,7.74,1,5.4,9.1,6.7,7.2,8.6,8.2,7.53,7.6,6.3,8.9,8.7,8.1,7.94
2017,Germany,8.53,1,8.3,9.9,10,7.7,9.4,10,9.25,6.2,7.4,9.5,8,8,7.82
2017,Ghana,6.94,2,5.7,8.2,10,8.1,8.8,3.8,7.3,8,5.2,5.9,6.6,7.2,6.58
2017,Greece,7.33,2,5.8,8.7,10,7.3,8.7,8.3,8.07,4.4,5.7,8,7.7,7.2,6.59
2017,Guatemala,7.07,2,4,5.9,10,8.5,8.2,6.7,6.56,9.4,4.3,9.5,8,6.5,7.57
2017,Guinea,5.61,4,3.2,5.8,6.7,8.5,6.9,0,5.37,5.4,3.2,7.8,5.9,6.9,5.86
2017,Guinea-Bissau,6.07,4,2.9,7.5,10,9.9,7.1,7.5,6.9,5,2.9,6.3,6.2,5.8,5.23
2017,Guyana,6.74,3,4.7,7.9,7.5,9.2,8.1,7.5,7.16,5.7,4.8,8.4,6.3,6.4,6.32
2017,Haiti,6.71,3,3.4,8,7.5,8.4,8.2,6.7,6.93,8.5,2.5,7.1,7.5,6.9,6.49
2017,Honduras,6.81,3,3.2,6.5,10,8.7,6.5,6.7,6.47,8.8,3.7,9.1,7.2,6.9,7.16
2017,Hong Kong,8.81,1,7.1,10,10,8.6,8.7,9,8.7,8.2,7.9,9.6,9.3,9.4,8.91
2017,Hungary,7.65,2,5.4,8.7,10,7.3,8.8,10,8.04,5.4,6,9.7,8,7.3,7.27
2017,Iceland,8.41,1,7.8,9.9,10,8.1,9.6,9,9.08,5.8,8.4,9.5,7.3,7.7,7.74
2017,India,6.64,3,4.3,8,6.7,5.5,8,5.7,6.37,8.2,5.2,8.4,6.1,6.7,6.91
2017,Indonesia,6.83,2,4.1,8.1,7.5,3.9,7.5,7.5,6.38,8.3,4.9,9.7,6.9,6.5,7.27
2017,Iran,5.1,4,4.4,7.1,0,4.3,5.4,2.3,4.48,5.5,4.6,8,4.9,5.6,5.72
2017,Iraq,4.34,4,2.6,3.6,4.2,5.3,5.4,0,3.47,5,2.8,7.1,5.5,5.5,5.21
2017,Ireland,8.52,1,7.5,9.7,10,9.1,9.5,10,8.9,6.7,7.5,9.5,8.6,8.4,8.13
2017,Israel,7.61,2,6.8,9,6.7,5.9,8.5,6.3,7.7,6.5,6.2,9.4,8.2,7.4,7.53
2017,Italy,8.04,1,6.5,9.9,10,8,9.1,9,8.67,6.1,5.8,9.4,8.2,7.5,7.41
2017,Jamaica,7.2,2,5.4,6.5,10,9.3,9.5,4.2,7.23,7.5,5.1,8.5,6.8,8,7.17
2017,Japan,8.28,1,7.6,10,10,8.1,9.2,8.2,8.7,5.7,7.6,9.5,8.2,8.3,7.86
2017,Jordan,6.84,2,5.8,8,5,6.3,6.6,5,6.23,7.6,4.8,9.5,7.5,7.8,7.44
2017,Kazakhstan,6.9,2,4.5,9,8.3,5.5,6.2,9,6.69,7,5.3,8.9,6.6,7.7,7.1
2017,Kenya,6.85,2,4,6.9,10,7.2,8.3,6.7,6.65,7.4,5.2,9.2,6.7,6.7,7.05
2017,"Korea, South",8.2,1,7.4,9.8,8.3,9.4,9,9,8.81,7,6.5,9.6,7.6,7.3,7.59
